lga_name,n
Yarra Ranges,156
Greater Bendigo,74
Nillumbik,57
Mornington Peninsula,50
Macedon Ranges,45
East Gippsland,32
Mount Alexander,28
Cardinia,27
Manningham,24
Indigo,21
Alpine,20
Ballarat,19
Hepburn,18
Murrindindi,18
Surf Coast,16
Baw Baw,15
Frankston,14
Wangaratta,14
Mildura,14
Mitchell,14
Central Goldfields,13
Greater Shepparton,12
Glenelg,11
Latrobe,11
Loddon,11
Corangamite,11
Wellington,11
Ararat,9
Moorabool,9
Casey,8
Moyne,8
Northern Grampians,8
Wodonga,7
Colac-Otway,7
Pyrenees,6
Mansfield,6
Towong,6
Greater Geelong,5
Whitehorse,5
Southern Grampians,5
South Gippsland,5
Knox,5
Golden Plains,4
Strathbogie,4
Swan Hill,4
Yarriambiack,3
Banyule,3
Campaspe,3
Moira,2
Unincorporated Vic,2
Gannawarra,2
Maroondah,2
Whittlesea,2
Melton,2
Warrnambool,2
West Wimmera,1
Hindmarsh,1
Falls Creek Alpine Resort,1
Horsham,1
Benalla,1
Queenscliffe,1
