decade,fire_type,area_ha,n_fires
1950s,Bushfire,939462.0,107
1960s,Bushfire,1334625.0,646
1960s,Prescribed Burn,46540.0,115
1970s,Bushfire,716752.0,388
1970s,Prescribed Burn,318626.0,789
1980s,Bushfire,1837571.0,1116
1980s,Prescribed Burn,1199734.0,2801
1990s,Bushfire,340347.0,1020
1990s,Prescribed Burn,981355.0,4786
2000s,Bushfire,13477868.0,1575
2000s,Prescribed Burn,835471.0,6273
2010s,Bushfire,5151319.0,3640
2010s,Prescribed Burn,822236.0,31164
2020s,Bushfire,974346.0,539
2020s,Prescribed Burn,143021.0,22117
